employee_id,customer_feedback,company_rank,department
29,4.85,0,C
48,1.66,32,B
60,3.7,1,C
9,2.12,10,C
2,9.7,64,C
73,6.27,50,A
4,7.35,1,B
68,4.11,95,A
83,4.93,17,C
45,8.65,50,A
5,5.64,6,A
27,3.34,72,B
9,2.18,2,C
64,8.49,36,A
16,8.31,4,B
17,3.53,1,C
25,4.32,87,A
96,2.07,37,C
44,4.82,24,B
31,3.02,87,A
18,6.62,31,C
24,4.39,10,C
24,1.92,13,A
99,6.88,47,C
15,9.27,57,A
42,2.7,84,C
94,5.5,77,C
37,3.61,82,B
64,2.4,20,A
6,4.75,65,C
62,4.04,96,B
48,5.77,72,C
31,7.69,83,C
83,2.75,75,C
36,9.7,43,A
95,7.04,2,A
26,9.87,82,A
73,4.86,17,A
47,6.69,55,C
59,7.52,94,A
20,8.04,3,B
85,8.06,87,B
25,2.8,56,C
63,5.19,81,B
68,5.3,89,A
34,6.58,7,C
25,3.25,25,C
27,2.16,59,A
85,3.69,93,A
67,6.17,38,A
99,2.64,73,B
61,5.12,13,A
96,8.53,60,B
32,5.49,82,A
4,6.36,89,C
61,4.54,9,B
72,5.07,96,C
54,2.89,94,A
55,3.46,61,A
64,4.29,68,A
17,4.5,42,C
22,7.71,43,B
82,6.81,6,B
68,7.22,63,C
26,4.62,8,C
52,8.47,70,C
96,9.72,12,A
59,7.93,65,B
84,9.2,74,B
99,6.39,30,B
50,4.93,40,A
52,8.54,97,A
63,1.56,2,B
14,2.46,22,A
33,1.53,24,A
57,3.75,40,B
25,3.98,63,B
91,4.2,36,B
7,2.22,47,B
43,2.5,6,B
51,6.13,49,A
5,6.98,18,C
73,6.36,7,A
53,8.66,10,C
92,2.67,49,A
43,1.75,72,B
86,4.71,84,A
15,6.34,31,B
87,4.8,78,A
33,4.66,78,B
33,5.51,45,A
85,7.21,51,A
60,7.26,44,B
16,6.85,53,B
65,8.16,76,B
57,3.08,36,A
92,6.48,86,B
77,8.21,71,B
95,4.14,37,A
44,8.18,26,C
